pk,tweet_id,tweet_content,tweet_url,tweet_source,tweet_language,tweet_date,tweet_reply_count,tweet_retweet_count,tweet_like_count,tweet_quote_count,user_id,username,user_displayname,user_description,user_location,user_created,user_followers_count,user_friends_count,user_statuses_count,date_added,date_updated
1,1663020494277455872,"@chanodesigns pinoy bbq",https://twitter.com/daphatroan/status/1663020494277455872,NULL,en,"2023-05-29 03:12:37",0,0,0,0,359716525,daphatroan,"Roan Espino","giants, niners, dubs",sf,"2011-08-22 02:01:04",148,446,20825,"2023-05-29 11:12:47","2023-05-29 11:12:47"
2,1663020059781128192,"@woogyugoals Yung isa nga doon Pinoy eh hahaha bbm siguro binoto 🤣🤣",https://twitter.com/mrsnimrhong/status/1663020059781128192,NULL,tl,"2023-05-29 03:10:54",0,0,0,0,1317367863049555973,mrsnimrhong,"JKim "Gradwaiting 😭🎓" 🐱🦊🐰🖤🌸🌻🌼","If there's a will, there's a way~

∞InspiritGoldennessLovelinusUniverse∞

Bias: Myungsoo, Joochan, Sungyoon, Ryu Sujeong, Hui & 99+ others charz

Future CPA 💗","Philippines 🇵🇭","2020-10-17 07:32:39",126,297,7264,"2023-05-29 11:12:47","2023-05-29 11:12:47"
3,1663019860333408256,"Mabuti pa BBP, relative equal screentime ng reigning Miss International and outgoing BBP titleholders. Yung MUP, halos non-existent si Celeste para lang maggive way kay R'Bonney porket may lahing Pinoy instead na patas yung screentime.",https://twitter.com/zeemeroot/status/1663019860333408256,NULL,tl,"2023-05-29 03:10:06",0,0,0,0,1329757523050594314,zeemeroot,"wilma doesn't egzst","Shivers and cold champagne...","Republic of the Philippines","2020-11-20 12:04:42",132,141,33353,"2023-05-29 11:12:47","2023-05-29 11:12:47"
4,1663023817206161409,"@CHAES0L Top 10 GG
1.Nmixx
2.Itzy
3.IZONE
4.Lapillus
5.Cignature
6.IVE,NiziU
7.Fromis9
8.TripleS
9.LeSserafim
10.Dreamcatcher
11.NewJeans,Kep1er
12.Class:y,Pixy,FiftyFiftyCSR

HOFame-WonderGirls,SNSD,2NE1,Twice,BP,MissA,Mamamoo,GFrend,RedVelvet",https://twitter.com/warriornopi83/status/1663023817206161409,NULL,en,"2023-05-29 03:25:50",0,0,0,0,4352386813,warriornopi83,"Pinoy Samurai TO","Sports 24/7, I live life the Samurai way. Dog lover. K-Pop Girl Group Nerd, Sportsnut, Beauty Pageant Enthusiast. I’m a Once Nswer…etc. now a Lapis",,"2015-11-25 04:54:58",116,357,2599,"2023-05-29 11:26:57","2023-05-29 11:26:57"
5,1663023532505440256,"Oh please! This is news? https://t.co/2Py4baEgy0",https://twitter.com/iTurnedAtheist/status/1663023532505440256,NULL,en,"2023-05-29 03:24:42",0,0,0,0,1564163544861790212,iTurnedAtheist,"Pinoy Atheist","Filipino Atheist. Scientist. Molecular biologist. Advocate of reason, critical thinking and evidence. He/Him. 🇵🇭🏳️‍🌈",,"2022-08-29 08:10:43",917,743,1766,"2023-05-29 11:26:57","2023-05-29 11:26:57"
6,1663023472875040768,"@marylouissesays Bitawwwww! Less issues sa life ning mga foreigner compared sa pinoy. Ginoo ko kalabad",https://twitter.com/AttyMaeowky/status/1663023472875040768,NULL,tl,"2023-05-29 03:24:28",1,0,0,0,1529833693719584768,AttyMaeowky,"Atty. Maeow","Catto-Lawyer’s diary #BBELawyer",,"2022-05-26 14:36:06",268,337,832,"2023-05-29 11:26:57","2023-05-29 11:26:57"
7,1663086837798420480,"@Cat_an1ma1 喜ばないで❗️",https://twitter.com/pokemon_soni/status/1663086837798420480,NULL,ja,"2023-05-29 07:36:15",0,0,0,0,1258021785263411201,pokemon_soni,そーに,"悲しき浪人生 社不適 本当に頭が悪い 性格も悪い 大学生になれればどこでもいいです 愛媛工志望@pokemon_soni2",,"2020-05-06 13:12:36",531,266,22353,"2023-05-29 15:36:19","2023-05-29 15:36:19"
8,1663086835311017991,"@HulburyWave "Jus' normal wear. I mean, I COULD wear it for an event if I wanted to..but I would feel awkward if I did without someone matching me - be it a friend or Pokémon. Hm..Maybe I could get something for my Glaceon to pair with me?"",https://twitter.com/FrostxPrincess/status/1663086835311017991,NULL,en,"2023-05-29 07:36:14",0,0,0,0,1569874105737904129,FrostxPrincess,"❄️Amelia Frost❄️","Second born child from Melony. Pokemon Sword & Sheild RP. Mun30 Muse23 My Champion 💍@TheNomadicChamp💍ll Finding happiness anywhere with 💍@SandwichPaldean💍ll",,"2022-09-14 02:22:14",190,197,3434,"2023-05-29 15:36:19","2023-05-29 15:36:19"
9,1663086834346520577,#마음찍은트친이나좋아하는걸로알기,https://twitter.com/POKEMON_ZZU/status/1663086834346520577,NULL,qht,"2023-05-29 07:36:14",0,0,0,0,1658404815549140992,POKEMON_ZZU,쭈,"• 유사 드림 위주🌟
                                                                                                                • よろしくお願いします！",,"2023-05-16 09:31:48",24,26,120,"2023-05-29 15:36:19","2023-05-29 15:36:19"
13,1663101123941597186,"@TheCartoonBase GameShark was pretty much the first nft wallet. Same goes for those weird little Bluetooth adapters we would use to trade our Pokémon on Gameboy SP.

Pokémon very well might save nft gaming.. If you know you know",https://twitter.com/NwadikeMirabel/status/1663101123941597186,NULL,en,"2023-05-29 08:33:01",0,0,0,0,781430977860165632,NwadikeMirabel,Couto,"Ich bin Tobias × Spiele viele Games × Oft Langeweile × LvL. 18 im Real Life × Baue immer viel Scheiße ❤","Hedensted, Danmark","2016-09-29 09:50:38",92,293,840,"2023-05-29 16:33:04","2023-05-29 16:33:04"
14,1663101106757533703,"NEW POKÉMON SNAP dans la VRAIE VIE 2 (ft. Joenesteam, Yunaly, Salocin) |... https://t.co/YNw9O5Fc9B via @YouTube",https://twitter.com/cartron47157316/status/1663101106757533703,NULL,fr,"2023-05-29 08:32:57",0,0,0,0,712614770566959104,cartron47157316,Rico,,,"2016-03-23 12:19:35",7,49,15525,"2023-05-29 16:33:04","2023-05-29 16:33:04"
15,1663101090785574914,"@B6489982 @TheBlur29 I swear I remember them having a Pokemon Go video where they hit a deer and filmed it's body",https://twitter.com/Bwaffle145/status/1663101090785574914,NULL,en,"2023-05-29 08:32:53",0,0,0,0,1643342938842226690,Bwaffle145,Baffle145,,,"2023-04-04 20:01:16",5,94,208,"2023-05-29 16:33:04","2023-05-29 16:33:04"
16,1663101454553423873,"@Dino_galletas No si lo peor es que el creador de la herramienta calls them out y encima lo niegan tipo "no entiendes de pokemon nosequé", bro que él creó la herramienta que has usado tú para hacer trampas, sabe de sobra cómo funciona xD",https://twitter.com/SpinaSoul/status/1663101454553423873,NULL,es,"2023-05-29 08:34:20",0,0,0,0,908756268,SpinaSoul,"~Nex, Navamorcondina, Doncella de la Muerte~ 🌐 🦂","Cis-She/Her - 25~@QueenofThorn_♏/@Wenthaz💋/@rzrgate /@Walba1396/@CrisArribasP/@rutahistoriafm/@LoTsFan_🍩/ @JessAnkoku/@TheEnfrax💚/ @Panadakk /PFP @yura_inaho","El hada de la alcantarilla","2012-10-27 19:24:51",1499,1812,196242,"2023-05-29 16:34:23","2023-05-29 16:34:23"
17,1663101438996934656,"Hunt the Rarest Pokemons with MaxiCABooking Hunt the Rarest Pokemons with MaxiCABooking
Pokemon Go live in https://t.co/9ph2KiOK6c",https://twitter.com/MaxicabookingSg/status/1663101438996934656,NULL,en,"2023-05-29 08:34:16",0,0,0,0,2616759648,MaxicabookingSg,"Maxicabooking SG",,,"2014-07-11 05:56:56",439,2249,29588,"2023-05-29 16:34:23","2023-05-29 16:34:23"
18,1663101406973427712,"Playing some Pokémon Scarlet over at https://t.co/qLqwzMuBIz 🩷✨ https://t.co/STkfsVBicD",https://twitter.com/minaccino__/status/1663101406973427712,NULL,fr,"2023-05-29 08:34:09",0,0,0,0,1576306905366110208,minaccino__,"Mina ‧₊˚","mee-nah-chi-no ‧₊˚ she/her","Lilycove City","2022-10-01 20:23:56",47,52,79,"2023-05-29 16:34:23","2023-05-29 16:34:23"
19,1663788289449402369,"I wish Pokemon would stop moving into open-world maps and return to linear regions. Once you remove the borders between areas, everything loses its individuality 

The only memorable thing about Paldea is that there's a giant hole in the middle of the region",https://twitter.com/LegacyDeluxe/status/1663788289449402369,NULL,en,"2023-05-31 06:03:34",0,0,0,0,1187183419446431744,LegacyDeluxe,"Legacy ☕️",,🇺🇲,"2019-10-24 01:46:08",123,361,15206,"2023-05-31 14:03:40","2023-05-31 14:03:40"
20,1663788280788164608,"@Alcachofitaa2 Mujeres adultas queriendo compresas de Pokemon, el concepto.
Luego estas son las mismas que critican a los hombres por jugar al FIFA https://t.co/anTrZUTcEO",https://twitter.com/Clowncogelon/status/1663788280788164608,NULL,es,"2023-05-31 06:03:32",0,0,0,0,1279109128657518593,Clowncogelon,Centered,,,"2020-07-03 17:46:05",26,44,12233,"2023-05-31 14:03:40","2023-05-31 14:03:40"
21,1663788267915943940,"@JadedArtistGal I like almost every pokémon but this is one of the worst, if not the worst https://t.co/6bbjgdYTY7",https://twitter.com/MasterPlaysDE/status/1663788267915943940,NULL,en,"2023-05-31 06:03:29",0,0,0,0,752815012612284416,MasterPlaysDE,𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫𒐫,"hust


#JoshtifiedSquad",,"2016-07-12 10:41:00",65,1051,2492,"2023-05-31 14:03:40","2023-05-31 14:03:40"
22,1663788524867317760,"@Gonzouroboros @RaiDev_ Thinking the same thing .swsh DLC was perfect imo for it being the first time done in a Pokémon game.",https://twitter.com/KantoKushhh/status/1663788524867317760,NULL,en,"2023-05-31 06:04:30",0,0,0,0,1391428586029125632,KantoKushhh,🎮,"SW-5162-8219-7225 PSN:Baltimorekushhh1 stream and other content coming soon.","Baltimore, MD","2021-05-09 16:23:49",51,122,403,"2023-05-31 14:04:35","2023-05-31 14:04:35"
23,1663788522682343424,"#Splatoon3 #NintendoSwitch https://t.co/O8SCCQUHZl",https://twitter.com/EvanPokemon101/status/1663788522682343424,NULL,qme,"2023-05-31 06:04:30",0,0,0,0,815055731120443397,EvanPokemon101,"evan switch clip spam","I post my switch stuff to download to phone and pc

pfp not drawn by me","la casa de tu mama","2016-12-31 04:43:24",18,141,430,"2023-05-31 14:04:35","2023-05-31 14:04:35"
24,1663788500091564032,"fraxure was the first ever shiny I set out to hunt for next in pokemon y and it's still my favorite shiny color palette-wise. https://t.co/FGiHhmztVw",https://twitter.com/Barrierds/status/1663788500091564032,NULL,en,"2023-05-31 06:04:24",0,0,0,0,31427399,Barrierds,barrierd,"formerly twinkle park action stage",htx,"2009-04-15 15:03:55",48,2896,5594,"2023-05-31 14:04:35","2023-05-31 14:04:35"
25,1663788715486105601,"@takurou_pokemon 使った額言うてもーてますやんw
結構いきましたねww",https://twitter.com/A_iruka_dolphin/status/1663788715486105601,NULL,ja,"2023-05-31 06:05:16",0,0,0,0,1085582775829200896,A_iruka_dolphin,イルカ,"よっす
ポケカ
対戦したい。。。",シンガポール,"2019-01-16 17:01:17",13,401,1185,"2023-05-31 14:05:18","2023-05-31 14:05:18"
26,1663788700512182272,"It undercuts the entire point of the show to have Ted leave before he wins, and especially with the implications the team can and will win next year- without Ted.",https://twitter.com/Curtashis/status/1663788700512182272,NULL,en,"2023-05-31 06:05:12",0,0,0,0,1566243391297429506,Curtashis,"Summikogurashi, Voltron, Ted Lasso, CFA & Pokemon","Curtashi content, AKA Lexi's newest attempt at making a politics-free Twitter|| 21+|| he/they pronouns
Voltron, basketball, SumikkoGurashi, Pokemon, Ted Lasso",,"2022-09-04 01:55:04",12,71,134,"2023-05-31 14:05:18","2023-05-31 14:05:18"
27,1663788692186726400,"17. Pokémon the Movie 2000",https://twitter.com/skllngtnbrony89/status/1663788692186726400,NULL,de,"2023-05-31 06:05:10",0,0,0,0,3020637042,skllngtnbrony89,Jrog1989,"Autistic, Cencal brony, gamer, aka JSkellingtonBrony89, Nightmare Before Christmas fan, polyamorous, He/Him, taken: @AnimelodieVA2, Age: 33, Oct 31, 1989","Fresno, CA","2015-02-15 06:55:12",679,1683,41622,"2023-05-31 14:05:18","2023-05-31 14:05:18"
28,1663795439617933312,"You can now celebrate the importance of Poké Balls with select episodes of Pokémon the Series available now on Pokémon TV until June 2 https://t.co/MozjoDvJPZ",https://twitter.com/PokemonBlogs/status/1663795439617933312,NULL,fr,"2023-05-31 06:31:59",0,0,0,0,702580828983971840,PokemonBlogs,"Pokémon Scarlet and Violet! ❤💜","Follow us for Pokémon news and tips for #PokemonScarletViolet, #PokemonGO, #PokemonLegendsArceus, Super #SmashBrosUltimate and much more! 🌐 pokemonblog.com",Hisui,"2016-02-24 19:48:17",1532,174,41999,"2023-05-31 14:32:04","2023-05-31 14:32:04"
